ม|ู|น|ช|า|ว:เ:ว|อ:ร:์|	m|u|n|s:h|o|w:e|r|
เ:ฮ|เ:ร|ี:ย|ต|	h:e:r|r|i|o:t|
ค:ั:ส|เ:ซ|ิ:่:ม|	k:a|s|e:m|
อ:ิ|ง|ก|ล:ี|ส|	i|n|g|l|i:s|
น|อ|ร:์|ท|ค|ร|อ|ฟ|ต:์|	n|o|r|t:h|c|r|o|f|t|
แ:บ|ล|ง|โ|ก|	b|l:a|n|c|o|
ค|ว|ิ|น|ซ|ี|	q|u|i|n|c|y|
ก|ร|ิ|น|ส:เ|ต|ด|	g|r|i|n|s|t:e|a:d|
อ:อ|ฮ|อ|ล:์|ต|	a|h|a|l|t|
เ|ท|ม|เ:ป|ิ:ล|เ:ม|ิ:่:น|	t|e|m|p|l|e:m:a|n|
เ:อ|ล|เ|บ|	e|l|b|e|
เ:ม:ิ|ร:์|ด|	m:u|r|d|
เ:ม|ล|เ:ล:็|ต|	m:a:i|l|l:e|t|
เ|บ|ด|แ:น|ร|ี:่|	b|e|d|n|a:r|y|
ค|า|ส:โ:ซ|ว|า|ร:ี:่|	c|a:s|s:o|w|a|r:y|
เ:อ:เ|ล|อ:แ|ต|ร|์|	e|l:e|u:t:h|e|r|e|
เ:ร|า|ส:์|	r|o|u:s:e|
ม:ิ:ว|เ:ต|ิ:่:ม|	m:u|t|u:m|
ส|เ:ป|ร|ด|	s|p|r:e|a:d|
เ:อ|ด|เ:ว:ิ|ร:์|ด|	e|d|w:a|r|d:s|
แ|ล|น:เ:ด|ิ:ร:์|ส|	l:a|n|d:e|r|s|
แ:อ|ด|ค|ิ|น|ส|ั|น|	a|d|k|i|n|s|o|n|
เ:ฮ|ท|เ:ค:ิ|ต|	h:e:a|t:h|c:o|t:e|
ไ:ว|เ:ด:อ|ร:์|ม|ู|ท|	w:i:l|d:e|r|m|u|t:h|
แ:อ|ล|เ:ด:ิ|ร:์|ด|	a|l|d|r|e:d|
ว|อ|ล:ล:์|	w|a|l:l|
เ:ซ|ล|เ:ด:ิ|่:น|	s|e:l|d:e|n|
ท|ร:ิ|แ|พ|ง|	t|r|e|p:a|n:g|
เ:ค|ร|บ|ส:์|	k|r:e|b|s|
ส|ต|อ:เ|ท|ิ:ร:์|ด|	s|t|o|t:h|a:r|d|
ว:ิ:๊|ง:เ:ค|ล|อ:ร:์|	w:i|n:k|l:e|r|
ซ|ิ|ก|ม|ุ|น|ด:์|	s|i|g|m|u|n|d|
ช|เ:ร|อ|ด:ี:เ|ง|อ:ร:์|	s:c:h|r|o|d:i|n:g|e:r|
ว:ิ|ต|แ:ม|น|	w:h:i|t|m|a:n|
เ|บ|น|า|ต|า|ร:์|,|	b|e|n|a|t|a|r|,|
เ:ช|ร|ั|บ|	c:h:e|r|u|b|
ค|อ|ม|ม|อ|น|เ:ซ|น|ส|์|	c|o|m|m|o|n|s|e:n|s|e|
พ|ิ|น|ช:ิ|ส|	p|i|n|c:h:e|s|
ส:แ:ต|ฟ|ฟ|อ|ร:์|ด|	s:t|a:f|f|o|r|d|
ฮ|า|ร:์|ต|ฟ|อ|ร:์|ต|	h|a|r|t|f|o|r|t|
เ:ม|อ|เ:ร|ส:์|	m|o|r:a:i|s|
ต|ิ|น|โ:ต:เ|ร|ต|โ:ต|,|	t|i|n|t:o|r:e|t:t|o|,|
เ:ม:ิ|ก:แ:ฮ|ฟ|ฟ|ี:ย:์|	m:a|h:a|f|f|e:y|
เ:ว:อ|ร:์|ท|ู|	v:i|r|t|u:e|
ฮ|ั|ฟ:ฟ:์|เ:ม:ิ|น|	h|u|f:f|m:a|n|
ร:ี|เ:ด:ิ|ล|	r:i:e|d:e|l|
แ:อ|ด|ม|ิ|ร:ั|ล|ต|ี|	a|d|m|i|r|a:l|t|y|
ด:ั:ช|เ:ช|ส|	d:u|c:h:e|s:s|
ม|ิ|ล|ก:์|	m|i|l|k|
ค|อ|ย:ล:์|	c|o|i:l|
โ:ก|ล|ส|ั|น|	g:h:o|l|s|o|n|
ล|ิ|น|เ:น|ี:ย:ส|	l|i|n|n:a:e|u:s|
บ|า|ร:์|เ:ร|ต|	b|a:r|r|e|t|
ร|ู|ป|ี|	r|u|p|e:e|
เ:ม:ิ|่:ก:ค|า|ร:์|ด:ี:้|	m|c:h|a|r|d:y|
ค|ว|ิ|น|	q|u|i|n:e|
อ:อ|ฟ|	o|f:f|
อ:า|ร:์|เ:พ|จ|ิ|โ:อ|	a|r|p:e:g|g|i|o|
เ:ว|ส|เ:ต:อ|ร:์|ก:า|ร:์|ด|	w|e:s|t:e|r|g:a:a|r|d|
ก:ิ:๊|บ|เ:บ|ิ:่:น|ส:์|	g:i|b|b|o:n|s|
เ:ว:ิ|ร:์|ส|	v:e|r|s|
ด:ี|ม|อ|น|	d:a:e|m|o|n|
เ:บ:็|ต|เ:ต:ิ|้:น|	b:e|t|t:e|n|
เ:ค:อ|ร:์|ช|่|า|	k:e|r|s:h|a|w|
ด|า:ว|น|์|	d|o|a:n|e|
ก|ร|ิ|น|เ:ด:ิ|ล|	g|r|i|n|d|l:e|
เ:จ|ฟ|เ:ฟ:อ|ร:ี:่|	j|e:f|f:e|r:y|
อ:ิ|น|ก|ร|ิ:ส|	i|n|g|r|e:s:s|
ซ|ั|ม|เ:ร:ิ|ล|	s|u|m|r:a|l:l|
บ|ร|า|ซ|ิ|ล|ว:ู|ด|	b|r|a|z|i|l|w:o:o|d|
ว|อ|ล|ด|ร:็:อ|ป|	w|a|l|d|r:o|p|
เ|บ|เ:ว:ิ|น|ส:์|	b|e|v:a|n|s|
พ|อ|ร:์:เ|ซ|ล|ล|า|ไ:น|ต|์|	p|o|r|c:e|l|l|a|n|i:t|e|
แ:อ|น|ต|ิ|อ:อ|ก:ซ:ิ|แ:ด|น|ต:์|	a|n|t|i|o|x:i|d|a:n|t|
ซ:ี|บ|ร:ู|๊:ก|	s:e:a|b|r:o:o|k|
แ:ค|ป|ส:์|	c|a:p|s|
แ:อ|ล|ช|ิ:ว|เ:ล:อ|ร:์|	a|l:t|s:h|u|l:e|r|
แ:ค:็|ป|เ:ต:อ|ร:์|	k:a|p|t:u|r|
เ:อ|ิ:ล|ค:็:อ|ก|	a|l|c:o|c:k|
ค|ล|ิ|ป|เ:ป:อ|ร:์|ต|ั|น|	c|l|i|p|p:e|r|t|o|n|
ด|ิ|ไ:ล|ล|์|	d|e|l:i:s|l|e|
น|อ|ย|	n|e|u|
พ|ร|ี|ฮ:ี|ต|	p|r|e|h:e:a|t|
เ|ล|จ|ิ:้|ง|	l|a|g|i|n:g|
เ:อ:็|ก:ซ:ิ|ม|แ:บ|ง|ก:์|	e|x:i|m|b|a:n|k|
เ:อ|ส|ป|์|	e|s|p|e|
ฟ|า|ม:่:า|	f|a|m:a|
แ:ฟ|ก|เ:ต|อ|ร:์|	f|a:c|t|o|r|
บ|ร|ิ:ก|ส:์|	b|r|i:g:g|s|
อ:า|ฟ|เ:ต:อ|ร:์|ช|็:อ|ก|	a|f|t:e|r|s:h|o|c:k|
แ|ย|น|น|ิ:ก|	y|a|n|n|i:c:k|
ไ:บ|ร|ซ|์|	b|r:i|c|e|
โ|อ|ก|ู|ส|ต|์|	a|u|g|u|s|t|e|
เ:ฮ|อ:ร:์|ท|ิ|ก|	h|e:r|t|i|g|
ม:อ|ล|	m:a:u|l:e|
ค|า|ร|ิ|บ|บ|ี|ส:์|	c|a|r|i|b|b|e:e|s|
บ|ี|แ:อ|็:ก|จ:ี:้|	b|i|a|g|g:i|
ไ:อ:เ|ซ|ิ|ล|	e:i|s|e|l:e|
ด|ั:๊:ก|เ:ด|ล|	d|u:g|d|a:l:e|
ม|ิ|ก:เ:ซ|ิ:่:น|	m|i|x:o|n|
ม:ั:น|เ:ซ|ล|ล:์|	m:u|s|e:l|l|
แ:ฟ|ร:์|	f:a:i|r|
ฮ|า|ร:์|ซ|	h|a|r|z|
เ:บ|า|น|ด|ส:์|	b|o:u|n|d|s|
ไ:ฟ|ร:ิ:่|ง|	f:e:i|r:i|n:g|
ส|ต:็:อ|ก|เ:ม|อ:ร:์|เ:อ|อ:ร:์|	s|t:o|c:k|m|a:y|e|r|
เ:ว|น|จ|ู|ร|ิ|	v|e:n|t|u|r|i|
แ:ซ|ม|เ:ฟ:ิ|ร:์:ต|	s|a:m|f:o|r:d|
ไ:ก|ส|เ:ล:อ|ร:์|	g:e:i|s|l:e|r|
แ:บ|ล:็:ก|เ|ม|อ:ร:์|	b:l:a|c|k|m:u|r|
ก:ี|	g:u:y|
เ|ท|ก:ซ:์|	t|e|x|
ด:ิ:ว|เ:ร|ิ:่:น|	d:u|r|o:n|
พ|ร:็:อ|ก|เ:ต|อ|ร:์|	p|r:o|c|t|o|r|
แ|ว|ก|อ|น|	w|a|g|o|n|
เ:พ|ร:ิ|เ:ค|ล|ส|	p|e:r:i|c|l|a:s:e|
ไ:ฮ|เ|ด|ร|ช:ั|น|	h|y|d|r:a|t:i:o|n|
ค:ี|เ:บ|ล|อ:ร:์|	k:e:e|b|l:e|r|
น|ี|ส:์|	n|e:e|s|
ล|ู|ค|ิ|น|	l|u|k|i|n|
บ:ี:เ|ม|ิ:่:น|ต:์|	b:e|m:e|n|t|
เ:ฮ:็|ก|เ:ล:อ|ร:์|	h:e|c:k|l:e|r|
ไ:ด:อ|ะ|แ:ม|ก|เ|น|ต|ิ|ก|	d:i|a|m|a|g|n:e|t|i|c|
โ:ก|โ:น|เ|ร|ี:ย|	g|o:n:o|r|r|h:e:a|
แ:ก|ม|เ:บ:ี|ย|	g|a:m|b:i|a|
เ:ซ|อ|ร|า|ต|ั|ส|	s|e|r|r:a|t|u|s|
ม|ิ|ล|ิ:จ|	m|i|l:l:e|d:g:e|
ด:ิ:ว|ซ:์|	d:u|e:c:e|
เ:บ:ิ|ร:์|ก|ส:เ:ต|ิ:ล|เ|ล|อ:ร:์|	b:u|r|g|s:t|a|l|l:e|r|
เ:ซ|ี:ย|ล|ส:์|	s:e:a|r|l|s|
เ:ย|ล|เ:ว:อ|ร:์|เ:ต|ิ:้:น|	y|e:l|v:e|r|t|o:n|
เ:ม:อ|ล|ิ|ส|เ:ซ|อ|	m:e|l|i|s|s|a|
เ:บ:เ|ต|ิ:้:น|	b:e|t:t|o:n|
เ:บ:ิ|ร:์|น|ไ:ฮ|ม:์|	b:e|r|n|h:e:i|m|
ก|ร|า|บ|ิ|แ|ว|ร|์|	g|r|a|b|i|w|a|r|e|
เ:ด|ม|า|เ:ร|ส|ต:์|	d|e:m|a|r|e:s|t|
ร|ั|ช|ม|อ:ร:์|	r|u|s:h|m:o|r:e|
เ:จ:อ|ร:์|ร|ี|	g:e|r|r|y|
ฮ|า|ร:ี|	h|a:r|i|
เ|บ|อ:ร:์|ก|ี|ส|ั|น|	b|e|r|g|e|s|o|n|
เ:ล|ม|น|ิ|ส|เ:ค|ต|	l|e:m|n|i|s|c|a:t:e|
เ:พ|อ:ร:์|เ:น:ิ|ล|	p|u:r|n:e|l:l|
ล:ี|แ|ม|น|	l|y|m|a:n|
แ:อ|น|ไ:อ|อ:อ|น|อ|ท|ร|อ|ป|ี|	a|n|i|o|n|o|t|r|o|p|y|
เ:พ:เ|น|โ|ล|ป|ี|	p:e|n:e|l|o|p|e|
ไ:อ|ร:์|เ:อ|ิ:น|ส:์|	i|r|o|n|s|
ไ:ซ|เ:ม:ิ|น|	s:a:i|m:o|n|
ร|ั|ส|เ:ซ|ล|ล:์|,|	r|u|s|s|e:l|l|,|
โ:ร|ด|ส:์|	r:h:o|d:e|s|
อ:อ|ล:์|ต|เ:ม:ิ|น|	a|l|t|m:a|n|
ค|า:ร:์|โ|บ|ไ:ฮ|เ:ด:ร|ต|	c|a|r|b:o|h:y:d|r|a:t:e|
ด:อ|น:น:ี|่|	d:o:n|n:i|e|
บ|ร:็:อ|ก|ค|ิ:ต|	b|r:o|c|k|e:t:t|
ไ:ฮ|บ|ร|ิ:ด|	h|y:b|i:r|d|
เ:ด|ซ:ิ|เ|ด|ร|ิ|อ:ั|ส|	d|e|s|i:d:e|r|i|u|s|
ด|ั|ม|ม|ี|	d|u|m|m|y|
เ:ล:อ|บ|ล:็:อ|ง:ค:์|	l:e|b|l:a|n:c|
เ:ม|ิ:่:ก|แ:ค:ล|เ:ป|ิ:้:น|	m|c|a:l|p|i:n|
ค|ร|ั|ม|	k|r|u|m|
แ:ก|ร|น|ว|ิ|ล|	g|r:a|n|v|i|l:l:e|
เ:บ|น|โ|ซ|	b|e|n|z:o|
บ|อ|เ:ก:ิ|ร:์|ต|	b|o|g:e|r|t|
โ:จ:เ|พ|ิ:ล|ล|ิ:่:ง|	j:o|p|l|i|n:g|
แ:พ|น|ท|ร|ี|	p|a:n|t|r|y|
บ|อ|ร:์|ด:ี|ล|อ|น|	b|o|r|d|e:l|o|n|
เ:ซ:ิ|ร:์|ฟ:เ:ว|อ:ร:์|	s:e|r|v:e|r|
อ:อ|ร|อ|ร:์|ก|	o|r|o|r|k:e|
แ:อ|น|น|า|เ|บ|ล|	a|n|n|a|b|e|l|
แ:ฟ|ร:์:ร|ี|โ:อ:้|	f:e:r|r|e|o|
เ:ด|ร|น|	d|r:a:i|n|
ส|ต|ั:ก|	s|t|u:c:k|
ค|า|ร:์|ส|ต:์|	k|a|r|s|t|
ซ|า|ล|ว|า|ด|อ|ร:์|	s|a|l|v|a|d|o|r|
พ|อ|ย|น:์|ต|ั|น|	p|o|y|n|t|o|n|
แ:ฟ|ร|น|ต:์|	f|r:a|n|t|
ม|า|ร:์|เ:ล:อ|ร:์|	m|a|r|l:e|r|
เ:บ:อ|ร:์|ล|ิ:ง|เ:ต|ิ:้:น|	b:u|r|l|i:n:g|t|o:n|
บ:ิ|ส|โ|พ|	b|i|s|p:o|
ว|ิ|ล|ส|ั|น|	w|i|l|s|o|n|
แ:น|ท|ิ|อ:อ|น|	g:n:a|t:h|i|o|n|
ย|ั|ส|เ:พ:อ|ร|ส:์|,|	j|a|s|p:e|r|s|,|
เ|บ|ล|ค|ิ|น|	b|e|l|k|i|n|
เ:ค|ต|เ:ท:อ|ร|ิ:ง|	k|e:t|t:e|r|i:n:g|
แ:อ|ล|ว|ั|น|ล|ี:ย:์|	a|l|v|a|n|l|e:y|
ค:ี|เ:ฟ:อ|ร:์|	k:e:e|f:e|r|
บ|ิ|ส|เ:ว:ิ|ส|	b|i|s|w:a|s|
โ:อ|น|ส:์|	o|w:n|s|
ฟ|า|ร:า:เ|ด|ย:์|,|	f|a|r:a|d:a|y|,|
แ:อ|พ|ร|ิ|ค|อ|ต|	a|p|r|i|c|o|t|
ก|ร|ิ|ฟ|ฟ|ิ|น|	g|r|i|f|f|i|n|
เ:ฮ:็|ก|เ:ก:ิ|้:น|	h:e|g|g:e|n|
แ:ฟ|น|ต|า|ซ|ี|	f|a:n|t|a|s|y|
ย|ั|ป|ป|ี|้|	y|u|p|p|i|e|
ล:ั:ฟ|เ:ว:อ|ม|อ:ร:์|	l:o|v:e|m:o|r:e|
พ|า|ก|า|โ:น:้|	p|a|g|a|n:o|
เ:ม|ิ:่:ก|ด:ู|เ:ก:ิ|ล|	m|c|d:o:u|g:a|l:l|
บ|ั|ด|เ:จ|ต|	b|u|d|g|e:t|
ช|ม|ิ|ต:ส:์|	s:c:h|m|i|t:z|
ร|อ|เ:บ:ิ|ร:์|ต|ช|อ:ว:์|	r|o|b:e|r|t|s:h|a:w|
ด|ี|ซ|ั|ล:โ|ฟ|ว|ิ|บ|ร|ิ|โ:อ|	d|e|s|u|l|f:o|v|i|b|r|i|o|
ว|า|ล|ี|	v|a|l|e:e|
พ|อ|น:ด:์|	p|o|i:d|
แ:ช|เ:น:อ|แ|ฮ|น|	s:h:a|n|a|h|a:n|
เ:ว|ส|ล|ี:ย:์|	w|e:s|l|e:y|
บ|ิ|เ:ก:อ|โ:ล|	b|i|g:e|l:o:w|
เ:ฮ|ด|เ:ม|ิ:่|น|	h:e:r|d|m|a|n|
ป:ุ|ส|ต|า|	p:u:s|z|t|a|
ม:็:อ|ต:ส:์|	m:o|t:z|
บ|อ:ร:์|ร|ิ|จ|	b:u|r|r|i|d:g:e|
ฮ|า|ร:์|ต|เ:ม:ิ|น|ส:์|	h|a|r|t|m:a|n|s|
น|ั|ป:ป:์|	n|u|p:p|
เ:ท|ล|ล:ี:่|	t|e:l|l:y|
เ:ม|น|ี:ย:์|	m|a:n|e:y|
ค:า:เ|ว|ี:ย|ร:์|	c:a|v:i|a|r|
ร|อ|ย|เ:บ:ิ|ล|	r|o|y|b:a|l|
ส|แ:ต:็|ก|เ:น:อ|ร:์|	s|t:a|g|n:e|r|
ส|แ:ล:็|บ|	s|l:a|b|
แ:อ:็|ป|ป|ล|ี|บ:ี:้|	a|p|p|l|e|b:y|
ฮ|า|ร:์|ว:ู|ด|	h|a|r|w:o:o|d|
ล:ี:เ|ล:ี|่:ย:น|	l:i|l:l:i|e:n|
ไ:ม|โ|ค|ร|โ:ฟ|น|	m|i|c|r:o|p:h:o|n:e|
แ:อ|น|เ:จ:อ|เ:ล:ิ|ส|	a|n|g:e|l:u|s|
โ:ด:เ|ค|ิ:ส|	d:o|c:a|s|
บ|ั|ต|เ:ต:อ|ร:์|	b|u|t|t:e|r|
แ:ม|น|ส:์|ฟ|ี|ล|ด:์|,|	m|a:n|s|f|i:e|l|d|,|
เ:ซ:อ|ร:์:เ|ร|ย:์|	s:u|r|r:e|y|
โ|ก|ล|ด:์|ฮ:็|อ|ก|	g|o|l|d|h|a:w|k|
แ:ฟ|ล:โ:ล|ส|	f:a:l|l:o|w:s|
ว:ี|แ:อ:ล|เ:อ:ส|ไ:อ|	v|l|s|i|
เ:ฟ|ต:เ:ต|อ:ร:์|	f:e:t|t:e|r|
พ|อ|ย:น:์|เ:ด:็|ก:ส|เ:ต:อ|ร:์|	p|o|i:n|d:e|x|t:e|r|
แ:ฮ:็|ก|	h:a|g|
ส:เ|ก|ล|ต|ั|น|	s|k:e|l|t|o|n|
น|ิ|ก:ส:ั|น|	n|i|x:o|n|
เ:ฟ:ิ|ร|น|ส:์|	f:e|r|n|s|
เ|บ|เ:น:ิ|ส|	b|e|n:a|s|
ป|ี|ร:ั|น|เ:ด:ล|โ:ล|,|	p|i|r|a:n|d:e|l:l:o|,|
ร|ิ|ช:า|ร:์|ด|ส|ั|น|,|	r|i|c:h:a|r|d|s|o|n|,|
ค|ว|ิ|ม|บ:ี:้|	q|u|i|m|b:y|
ล|อ:เ|ท:ี|่:ย:น|	l|o|t:h:i|a:n|
ร|ิ:ก|ส:์|	r|i:g:g|s|
ซ:ี|พ:ี|เ:อ:ส|	c|p|s|
ล|ู|ซ|	l|u|c:e|
แ:ค:ส|เ|ค|เ:ด|ี:ย|น|	c:a|s|c:a|d|i|a:n|
อ:ะ|แ:ค|น|ท:ั|ส|	a|c|a:n|t:h:u|s|
บ:ิ:ว|เ:ฟ:ิ|ร:์|ด|	b:u|f:o|r|d|
เ:อ|ก|ิ|น|	e|k|i|n|
ฮ|อ|ม|อ|โ:ท|ป|ี|	h|o|m|o|t|o:p|y|
เ:ม:ิ|ก:ค:ล|ี:น|	m|c:l|e:a:n|
เ:อ|ล|ิ:น|เ:บ|อ|เ:ก:ิ|่:น|	e|l:l:e|n|b|o|g:e|n|
ไ:ร|ย|์|	r|y|e|
น|ี|ส|	n|e:e|s:e|
อ:ิ|ซ|า|เ|บ|ล|	i|s|a|b|e|l|
เ:ด|ก|า|ร:์|ต|,|	d:e:s|c|a|r|t:e|s:,|
แ:ค:ส|ส|เ|ว|ล|	c:a|s|s|w:e|l:l|
ส|ม|ิ|ท|ซ|อ|ไ:น|ต|์|	s|m|i|t:h|s|o|n|i:t|e|
ล|ั|ก:เ:ซ|ิ:น|เ:บ:ิ|ร:์|ก|	l|u|x:e|n|b:e|r|g|
ก|ู|ต|า|ร|า|จ|า|	k|u|t|a|r|a|j|a|
เ:อ|เ:บ:ิ|ล|	a|b|l:e|
เ:ม:อ|ร:์|น|า|	m:y|r|n|a|
ท|อ|ม|ั|ส|	t:h|o|m|a|s|
ด:ิ:ว|เ:บ:ิ|ล|	d:u|b|l:e|
ค|อ|ร:์:เ|ร|ก|ต:์|	c|o|r|r:e|c|t|
แ:ซ|ก:ซ:์|	s|a:x|
ไ:ล|ด|์|	l|y:d|e|
เ:ม:า|เ:อ:อ|ร:ี:่|	m:o|w:e|r:y|
เ:อ|โ:ซ|น|ั|ล|	a|z|o:n|a|l|
โ:ย|เ:ม:ิ|น|ด:์|	y:e:o|m:a|n|s|
ไ:ด|น|า|ไ:ม|ต|์|	d|y:n|a|m|i:t|e|
น|ู|น|เ:ฮ:ิ|่:ม|	n|e:w|n|h:a|m|
เ:จ|โ|ท|ร|	j|e|t:h|r:o|
ว|ิ|ล|ล|ิ|ง|แ|ฮ|ม|	w|i|l|l|i|n|g|h|a:m|
แ:ล|ม|บ:์|ต|ั|น|	l|a:m|b|t|o|n|
เ:ก|ส|ส:์|เ:น:อ|ร:์|	g|e:s|s|n:e|r|
อ:๊:อ|ป|	o:p|p|
อ:า|ร:์|เ:ร|เ:น|ี:ย|ส|	a|r|r:h:e|n|i|u:s|
ไ|ล|โ:อ|เ:น|ล|	l|i|o|n|e:l|
ไ:บ|ย:์|ส:เ:ต|ร|ิ:ม|	b|y|s:t|r:o|m|
ม|ิ|ล|ล:ิ:เ|ม|ต:ร|	m|i|l|l:i|m:e|t:r:e|
โ:ม:เ|ส|ส|	m:o|s:e|s|
บ|อ|ล|ต|ิ|ก|	b|a|l|t|i|c|
เ:อ|อ:ร:ิ|ส|	a|r:i|s|
เ|ว|ย:์|ล|ิ:ต|	w|a|y|l|e:t:t|
อ:อ|ส|เ:ต|ร|ี:ย|	a|u:s|t|r:i|a|
แ:บ|ร|น|เ:ฟ:ิ|ร:์|ด|	b|r:a|n|f:o|r|d|
ก|อ|ร:์|ม|ล|ี:ย:์|	g|o|r|m|l|e:y|
อ:ะ|ก|ั|ล|แ:ฮ|ส|	a|g|u|l|h|a:s|
ค|ิ|ม|เ|บ|อ:ร:์|ล|ิ|น|	k|i|m|b|e|r|l|i|n|
ด|า|ก|า|ต:้:า|	d|a|g|a|t:a|
อ:อ:ย|ส|เ:ต:อ|ร:์|	o:y|s|t:e|r|
ฮ|ั|ป|เ:ป:อ|ร:์|	h|o|p|p:e|r|
เ:ล:็|ก|เ:ค:อ|ร:์|	l:e|c|k:e|r|
แ:อ|น|เ:ท|อ|ร:์|	a|n|t|a|r|
เ|ว|ว|ิ:ง|ส:์|	l|e|v|i:n:g|s|
ด|ิ|ว|เ|บ|อ:ร:์|ร|ี|	d|e|w|b|e|r|r|y|
ท|อ|ร:์|เ:ต:ิ|น|	t:h|o|r|t|o:n|
เ:จ:็|ก:ส:์|	j:e|x|
แ:อ|เ:ร|น|ด|ส:์|	a|r|e:n|d|s|
แ:อ:็|บ|บ:ี:้|	a|b|b:y|
พ|า|พ|ิ:ล|โ:ล|ต|	p|a|p|i|l:l:o|t:e|
โ|ซ|ร|อ|ส|,|	s|o|r|o|s|,|
เ:บ|า|เ:ม|ิ:่:น|	b|a|u:m:a|n|
ค|ิ|ล|เ:น:อ|ร:์|	k|i|l|n:e|r|
ม|อ|ร:์|ต|ล:็:อ|ก|	m|o|r|t|l:o|c:k|
ช|็:อ:ป|ส|ต|ิ:ก|ส:์|	c:h|o:p|s|t|i:c:k|s|
เ|บ|น|ส:์|	b|e|n:d|s|
แ:ค|ร|น|ต:์|ส|	k|r:a|n|t|z|
ก|า|ร|ิ|ม|	k|a|r|i|m|
เ:ม|ล|ิ:ก|	m|e:l|i:c:k|
แ:ด|น|ี:เ:อ|ล|ี:่|	d|a:n|i:e|l:l|i|
ซ:ี:อ|า:ร:์|ซ:ี|	c|r|c|
เ:ร|น|เ:ด:ิ|ล|	r|e:n|d|l:e|
ไ:ด:อ|ะ|ร|ี|	d:i|a|r|y|
จ|า|ค|อ|บ|ไ|ซ|ต|์|	j|a|c|o|b|s|i|t|e|
ด|ี|เ:ต:อ|ร:์|	d|i:e|t:e|r|
ท|ิ|น|เ:ด|ล|	t|y|n|d|a:l:e|
ไ:ร|น:์|ส|ไ:ต|น:์|	r:e:i|n|s|t:e:i|n|
อ:อ:แ|ม|ด|ิ|ส|	a|m|a:d|i|s|
เ:พ|ร|ี:่|	p|e:r|y|
แ:ฮ|ล|ส|ต|ิ:ด|	h|a:l|s|t:e|d|
แ:ค:บ|า|เ:ร|ต:์|	c:a|b|a:r:e|t|
ท|ิ|ล|ไ:ล|ต|์|	t|i|l|l|i:t|e|
ม|ิ|น|ู:อ:ิ|ต|	m|i|n|u:i|t|
ล:ี|ด:ี:้|	l:e:i|d:y|
โ|ป|ล|ิ|โ:อ|	p|o|l|i|o|
แ:อ|น|ต|ิ|โ|ค|ด|อ|น|	a|n|t|i|c|o|d|o|n|
แ:จ:็|ก|ฟ|ร|ุ:ต|	j:a|c:k|f|r|u:i:t|
แ:พ|น|ด|์|	p|a:n|d|e|
เ:บ|ล:โ:ล|	b:e:l|l:o|
แ:ค:ส|ซ:ิ|เ:ท:อ|ร:์|ไ:ร|ต|์|	c:a|s:s:i|t:e|r|i|t|e|
ไ:ล|โ|ฟ|	l|i|f:o|
เ:น|เ:ล:อ|ร:์|	n:a:y|l:e|r|
ส:เ|ม|ล|	s|m:a|l:e|
ซ|า|น|ต|ี|น|า|	s|a|n|t|e|n|a|
เ:อ|เ:ล|ี:ย|น|	a|l|i|e:n|
ป:ร|ส|ิ|ต|	p:a:r|a:s|i|t:e|
ม|อ:ล:เ|ด|ิ:้:น|	m|a:l|d:e|n|
พ|ล|า|ส|โ:ม|โ:ซ|ม|	p|l|a|s|m:o:s|o|m:e|
เ:ช|ม|เ:บ:อ|ร|ส:์|	c:h:a|m|b:e|r|s|
แ:ค|แ|ป|ซ|ิ|เ:ต|อ|ร:์|	c|a|p|a:c|i|t|o|r|
แ:ม|น|ด:ี:้|	m|a:n|d:i|
บ|ล|ู:ม|ฟ|ี|ล|ด:์|,|	b|l|o:o:m|f|i:e|l|d|,|
เ:ม|ิ:่:ก|เ:บ:อ|ร:์|น|ี:ย:์|	m|c|b:u|r|n|e:y|
บ|ั|ล|เ:ม:อ|ร:์|	b|u|l|m:e|r|
แ:ก|ม|บ|ี:เ:อ|อ:ร:์|	g|a:m|b|i:e|r|
จ|ู|เ:ด|ี:ย|	j|u|d:a:e|a|
ล|ู|โ|ด|	l|u|d|o|
ไ:ร|ซ|ิ|ก|	r:e:i|s|i|g|
โ:บ|ว:์:ล|ิ:ง|	b:o:w|l|i:n:g|
ม|อ|ร|อ|น|	m|o|r|o|n|
แ:บ|ล|า|ไ:ล|ก|า|	b|a:l|a|l:a:i|k|a|
เ:ล|เ|น|ิ:น|	l|e|n:o|n|
ร|ี|โ:น|ด:์|	r|e|n:a:u|d|
เ:พ|ล|ต:์|	p|e:l|t|
แ:ฮ:เ|น|อ|ว|อ|ล|ต:์|	h:a|n|a|w|a|l|t|
ฟ|ุ|ต|ซ|อ|ล|	f|u|t|s|a|l|
ร|ู:ส|	r|u:s:e|
ม|อ|ส|เ:ม:ิ|น|	m|o|s:s|m:a|n|
ล|ิ|น|ล|ิ|ท|โ|ก|ว:์|	l|i|n|l|i|t|h|g:o|w|
โ|ร|แ:ซ|น|	r|o|z:a:n|n:e|
ฮ:ั:๊|บ|ส:์|	h:u|b:b|s|
เ:จ|ก|	j|a:k:e|
ม|อ|น|ต|์:เ:ป|เ:ล|ี|ย:ร:์|	m|o|n|t|p:e|l|i:e|r|
เ:ฮ|ล|์:ป:ส|	h|e:l|p:s|
ด|ี|ว|ร:ี|ส|	d|e|v|r:i:e|s|
แ:ช|น|ด:้:า|	c:h:a|n|d:a|
